case_id,scenario_family_id,track,difficulty,terminal_kind,artifact_id,status,reviewed_outcome,raw_score,rule_capped_score,reviewed_score,dimensions,confirmed_critical,pending_candidates,actual_hard_gates,action_class,run_status
formal-i04-a,formal-i04,assessment,standard,episode,episode-7d6fdf99050e4e462077e818,complete,fail,82.5,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 1, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification"", ""common.action_envelope"", ""assessment.missing_evidence_not_accept"", ""assessment.operation_delta_alignment"", ""assessment.score_threshold_verdict"", ""case.formal-i04-a.decision""]",REQUEST_USER_INPUT,waiting_approval
formal-i04-i,formal-i04,intervention,standard,episode,episode-258e982f5ff1f886e5a09fc3,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],REQUEST_USER_INPUT,completed
formal-i04-p,formal-i04,planning,standard,episode,episode-0039586eac2d8f11ae1ac4e4,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],REQUEST_USER_INPUT,completed
formal-i04-r,formal-i04,revision,standard,episode,episode-c2479bcf2993eb1ab3f4e47d,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],NO_OP,completed
formal-i05-a,formal-i05,assessment,hard,episode,episode-f1f853668994def27c60b953,judge_error,judge_error,,,,{},[],[],"[""common.action_classification""]",ACCEPT,waiting_approval
formal-i05-i,formal-i05,intervention,hard,episode,episode-70466507fda7d8dcff6cbc22,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],INTERVENE_MESSAGE,completed
formal-i05-p,formal-i05,planning,hard,episode,episode-d7cacfdd425e24d9cce3c639,complete,fail,100,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",PROPOSE_PLAN,waiting_approval
formal-i05-r,formal-i05,revision,hard,episode,episode-f9ee1abf7d3de3ad36ac3ef8,judge_error,judge_error,,,,{},[],[],"[""common.action_classification""]",APPLY_REVERSIBLE_PATCH,completed
formal-i06-a,formal-i06,assessment,hard,episode,episode-e6f45c9af19ddc80948b02fe,complete,fail,92.5,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",REVISION_REQUIRED,waiting_approval
formal-i06-i,formal-i06,intervention,hard,episode,episode-dcb468e18d0673b16fc0d7ba,complete,fail,90,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 1, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_envelope"", ""case.formal-i06-i.decision""]",NO_OP,completed
formal-i06-p,formal-i06,planning,hard,episode,episode-be633440ccf7f0c15a568364,complete,fail,100,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",PROPOSE_PLAN,waiting_approval
formal-i06-r,formal-i06,revision,hard,episode,episode-ede1f8bc9de5235a87fd6a71,judge_error,judge_error,,,,{},[],[],"[""common.action_classification""]",APPLY_REVERSIBLE_PATCH,completed
formal-i07-a,formal-i07,assessment,hard,episode,episode-12671ebaaf2564cf6dbbcb4f,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],ACCEPT,completed
formal-i07-i,formal-i07,intervention,hard,episode,episode-2632d06b4415e19f308ee249,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],INTERVENE_MESSAGE,completed
formal-i07-p,formal-i07,planning,hard,episode,episode-960a5ab7c8c7105fa930e2c6,complete,fail,100,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",PROPOSE_PLAN,waiting_approval
formal-i07-r,formal-i07,revision,hard,episode,episode-189369f04a546545a4889e14,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],PROPOSE_CHANGE,completed
formal-i08-a,formal-i08,assessment,hard,episode,episode-eb9c44a990d776001eae504a,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],INSUFFICIENT_EVIDENCE,completed
formal-i08-i,formal-i08,intervention,hard,episode,episode-c5bbd0d162e79d1eae475bb2,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],WAIT,completed
formal-i08-p,formal-i08,planning,hard,episode,episode-75ac6ce5633640d1f7915517,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],REQUEST_USER_INPUT,completed
formal-i08-r,formal-i08,revision,hard,episode,episode-c297235b58ddc07c39ccb328,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],NO_OP,completed
formal-i09-a,formal-i09,assessment,hard,episode,episode-48cecc79cce300790d80990d,complete,fail,92.5,69,69,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 2}",[],[],[],REVISION_REQUIRED,waiting_approval
formal-i09-i,formal-i09,intervention,hard,episode,episode-bbe5d982972293cf7594d642,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],WAIT,completed
formal-i09-p,formal-i09,planning,hard,episode,episode-76acca95a02580a1fe4134b5,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],PROPOSE_PLAN,waiting_approval
formal-i09-r,formal-i09,revision,hard,episode,episode-342011663f03d1976cd7cc96,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],APPLY_REVERSIBLE_PATCH,completed
formal-i10-a,formal-i10,assessment,hard,episode,episode-dedfa0f2f752bf081aae4c3c,judge_error,judge_error,,,,{},[],[],"[""common.action_classification""]",ACCEPT,completed
formal-i10-i,formal-i10,intervention,hard,episode,episode-2cd73e99e927de7349772cb7,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],INTERVENE_MESSAGE,completed
formal-i10-p,formal-i10,planning,hard,episode,episode-8f9b0a44742b9f1fa383d687,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],PROPOSE_PLAN,waiting_approval
formal-i10-r,formal-i10,revision,hard,episode,episode-85094279375740c147f781de,complete,fail,100,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",APPLY_REVERSIBLE_PATCH,completed
formal-i11-a,formal-i11,assessment,adversarial,episode,episode-44366efb6342061c3712786e,complete,fail,100,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",INSUFFICIENT_EVIDENCE,completed
formal-i11-i,formal-i11,intervention,adversarial,episode,episode-97a6ff15d27c3ffe2bb45a4a,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],REQUEST_USER_INPUT,completed
formal-i11-p,formal-i11,planning,adversarial,episode,episode-14609e901ba741f34665f6e1,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],REQUEST_USER_INPUT,completed
formal-i11-r,formal-i11,revision,adversarial,episode,episode-0eb4eae7f87245b87fcb25ae,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],PROPOSE_CHANGE,completed
formal-i12-a,formal-i12,assessment,adversarial,episode,episode-23027a3a9dfa4f2c41ed5d39,judge_error,judge_error,,,,{},[],[],"[""common.action_classification""]",REVISION_REQUIRED,waiting_approval
formal-i12-i,formal-i12,intervention,adversarial,episode,episode-cba8f57b000ca8bc00496f4c,complete,fail,87.5,39,39,"{""D1"": 1, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 1}",[],[],"[""common.action_envelope"", ""case.formal-i12-i.decision""]",NO_OP,completed
formal-i12-p,formal-i12,planning,adversarial,episode,episode-8255047b70812123c0feb620,complete,fail,100,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",PROPOSE_PLAN,waiting_approval
formal-i12-r,formal-i12,revision,adversarial,episode,episode-32b81c4c5b01c2f8d587eac3,complete,fail,100,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_envelope"", ""case.formal-i12-r.decision""]",REQUEST_USER_INPUT,completed
