case_id,scenario_family_id,track,difficulty,terminal_kind,artifact_id,status,reviewed_outcome,raw_score,rule_capped_score,reviewed_score,dimensions,confirmed_critical,pending_candidates,actual_hard_gates,action_class,run_status
formal-h03-r,formal-h03,revision,standard,episode,episode-e0dace5f5b9aaa3b2c22a6cb,complete,fail,100,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",PROPOSE_CHANGE,completed
formal-h04-a,formal-h04,assessment,standard,episode,episode-63c72d8a406a2cf62138d857,complete,fail,82.5,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 1, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification"", ""common.action_envelope"", ""assessment.missing_evidence_not_accept"", ""assessment.operation_delta_alignment"", ""assessment.score_threshold_verdict"", ""case.formal-h04-a.decision""]",NO_OP,completed
formal-h04-i,formal-h04,intervention,standard,episode,episode-95abae22a07575f13e07ef92,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],REQUEST_USER_INPUT,completed
formal-h04-p,formal-h04,planning,standard,episode,episode-8bc75e6eadd2afd1b002446a,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],REQUEST_USER_INPUT,completed
formal-h04-r,formal-h04,revision,standard,episode,episode-063bd47eaa8b01944f95bd2d,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],NO_OP,completed
formal-h05-a,formal-h05,assessment,hard,episode,episode-69616d2b35c794416b3f709b,complete,fail,80,39,39,"{""D1"": 1, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 1}",[],[],"[""common.action_classification""]",ACCEPT,waiting_approval
formal-h05-i,formal-h05,intervention,hard,episode,episode-9927d8daaceffa0f258db50c,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],INTERVENE_MESSAGE,completed
formal-h05-p,formal-h05,planning,hard,episode,episode-ca4279b49da319a61c46c489,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],PROPOSE_PLAN,waiting_approval
formal-h05-r,formal-h05,revision,hard,episode,episode-86b37ba92f2e3540e12039ea,complete,fail,100,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",APPLY_REVERSIBLE_PATCH,completed
formal-h06-a,formal-h06,assessment,hard,episode,episode-5a5fe9af97c7301e632562c4,complete,fail,92.5,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",REVISION_REQUIRED,waiting_approval
formal-h06-i,formal-h06,intervention,hard,episode,episode-38b514c8ad06c16061def799,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],WAIT,completed
formal-h06-p,formal-h06,planning,hard,episode,episode-c483173f3bcad130eeddf324,complete,fail,100,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",PROPOSE_PLAN,waiting_approval
formal-h06-r,formal-h06,revision,hard,episode,episode-aceceb26b7ca9bbdc0260b87,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],APPLY_REVERSIBLE_PATCH,completed
formal-h07-a,formal-h07,assessment,hard,episode,episode-35814d6148af7f775d6ba515,complete,fail,92.5,69,69,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 2}",[],[],[],ACCEPT,waiting_approval
formal-h07-i,formal-h07,intervention,hard,episode,episode-b83b1148c203e2c483ab471b,complete,fail,100,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",INTERVENE_MESSAGE,completed
formal-h07-p,formal-h07,planning,hard,episode,episode-6404e2dd55755a64677e1f53,complete,fail,100,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",PROPOSE_PLAN,waiting_approval
formal-h07-r,formal-h07,revision,hard,failure,failure:formal-h07-r,runtime_failure,runtime_failure,,,,{},[],[],[],,
formal-h08-a,formal-h08,assessment,hard,episode,episode-df48cfa1cb4f391c89d76615,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],INSUFFICIENT_EVIDENCE,completed
formal-h08-i,formal-h08,intervention,hard,episode,episode-e2940af467f930b5e08448d5,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],WAIT,completed
formal-h08-p,formal-h08,planning,hard,episode,episode-8a145f3f50a632993f439b11,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],REQUEST_USER_INPUT,completed
formal-h08-r,formal-h08,revision,hard,episode,episode-f39f8c02cd2a659480364905,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],NO_OP,completed
formal-h09-a,formal-h09,assessment,hard,episode,episode-faf1c4b04c10d59506c6dc80,complete,fail,92.5,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",REVISION_REQUIRED,waiting_approval
formal-h09-i,formal-h09,intervention,hard,episode,episode-85492cb583534c0c2c143baf,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],WAIT,completed
formal-h09-p,formal-h09,planning,hard,episode,episode-51de74d71ff2c8242f330a7f,complete,fail,100,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification""]",PROPOSE_PLAN,waiting_approval
formal-h09-r,formal-h09,revision,hard,episode,episode-ec0bc10a823a30c4317f56e9,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],APPLY_REVERSIBLE_PATCH,completed
formal-h10-a,formal-h10,assessment,hard,episode,episode-1cf63dcc13fe59428ceaf08c,complete,fail,87.5,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 1}",[],[],"[""common.action_classification""]",ACCEPT,waiting_approval
formal-h10-i,formal-h10,intervention,hard,episode,episode-0d6601103af4a89edb4f3bdf,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],INTERVENE_MESSAGE,completed
formal-h10-p,formal-h10,planning,hard,episode,episode-3ce7fd9d994934971a1431ff,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],PROPOSE_PLAN,waiting_approval
formal-h10-r,formal-h10,revision,hard,episode,episode-bd2fc96aefc7be624422ad89,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],APPLY_REVERSIBLE_PATCH,completed
formal-h11-a,formal-h11,assessment,adversarial,episode,episode-2c5649f182fd7ae14a0488c2,complete,fail,92.5,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_classification"", ""common.action_envelope"", ""assessment.missing_evidence_not_accept"", ""assessment.operation_delta_alignment"", ""assessment.score_threshold_verdict""]",INSUFFICIENT_EVIDENCE,waiting_approval
formal-h11-i,formal-h11,intervention,adversarial,episode,episode-2c9b052a865f668b4dc0a585,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],REQUEST_USER_INPUT,completed
formal-h11-p,formal-h11,planning,adversarial,episode,episode-f450b8b6ffa0599859688087,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],REQUEST_USER_INPUT,completed
formal-h11-r,formal-h11,revision,adversarial,episode,episode-6be3a94efe48370464ce53f2,complete,pass,100,100,100,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],[],PROPOSE_CHANGE,completed
formal-h12-a,formal-h12,assessment,adversarial,episode,episode-5c396516984a3372695e8c27,complete,fail,92.5,69,69,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 2}",[],[],[],REVISION_REQUIRED,waiting_approval
formal-h12-i,formal-h12,intervention,adversarial,episode,episode-865d538f207144bddc713b4a,complete,fail,90,39,39,"{""D1"": 2, ""D2"": 2, ""D3"": 1, ""D4"": 2, ""D5"": 2, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_envelope"", ""case.formal-h12-i.decision""]",NO_OP,completed
formal-h12-p,formal-h12,planning,adversarial,episode,episode-5077533a7c1227767be78d32,complete,pass,92.5,92.5,92.5,"{""D1"": 2, ""D2"": 2, ""D3"": 2, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 2}",[],[],[],PROPOSE_PLAN,waiting_approval
formal-h12-r,formal-h12,revision,adversarial,episode,episode-b796bee5d45f426b669c324e,complete,fail,67.5,39,39,"{""D1"": 2, ""D2"": 0, ""D3"": 1, ""D4"": 2, ""D5"": 1, ""D6"": 2, ""D7"": 2}",[],[],"[""common.action_envelope"", ""case.formal-h12-r.decision""]",REQUEST_USER_INPUT,completed
