experiment,id,repeat,track,status,original_status,recovery,raw_score,score,outcome,D1,D2,D3,D4,D5,D6,D7
validation,quality-02-3,1,planning,complete,complete,,32.5,32.5,fail,0,1,1,1,0,2,0
validation,quality-01-1,2,planning,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-01-2,2,planning,complete,complete,,65,65,fail,1,2,1,1,1,2,2
validation,quality-01-3,2,planning,complete,complete,,40,39,fail,2,2,0,0,0,2,1
validation,quality-02-1,2,planning,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-02-2,2,planning,complete,judge_error,additional-finding-label-parser-fix,70,69,fail,0,2,2,2,0,2,2
validation,quality-02-3,2,planning,complete,complete,,52.5,39,fail,0,1,2,2,0,2,0
validation,quality-01-1,3,planning,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-01-2,3,planning,complete,complete,,65,65,fail,1,2,1,1,1,2,2
validation,quality-01-3,3,planning,complete,complete,,50,39,fail,1,2,1,0,1,2,1
validation,quality-02-1,3,planning,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-02-2,3,planning,complete,complete,,77.5,69,fail,0,2,2,2,1,2,2
validation,quality-02-3,3,planning,complete,complete,,52.5,39,fail,0,1,2,2,0,2,0
validation,quality-03-1,1,intervention,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-03-2,1,intervention,complete,complete,,92.5,92.5,pass,1,2,2,2,2,2,2
validation,quality-03-3,1,intervention,complete,complete,,15,15,fail,2,0,0,0,0,0,0
validation,quality-04-1,1,intervention,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-04-2,1,intervention,complete,complete,,80,80,pass,1,2,2,2,1,2,1
validation,quality-04-3,1,intervention,complete,complete,,35,35,fail,2,2,0,0,0,0,1
validation,quality-03-1,2,intervention,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-03-2,2,intervention,complete,complete,,80,80,pass,1,2,2,2,1,2,1
validation,quality-03-3,2,intervention,complete,complete,,17.5,17.5,fail,2,0,0,0,0,1,0
validation,quality-04-1,2,intervention,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-04-2,2,intervention,complete,complete,,85,85,pass,1,2,2,2,1,2,2
validation,quality-04-3,2,intervention,complete,complete,,37.5,37.5,fail,2,2,0,0,0,1,1
validation,quality-03-1,3,intervention,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-03-2,3,intervention,complete,complete,,92.5,92.5,pass,1,2,2,2,2,2,2
validation,quality-03-3,3,intervention,complete,complete,,17.5,17.5,fail,2,0,0,0,0,1,0
validation,quality-04-1,3,intervention,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-04-2,3,intervention,complete,complete,,92.5,92.5,pass,1,2,2,2,2,2,2
validation,quality-04-3,3,intervention,complete,complete,,52.5,39,fail,2,2,0,0,2,1,1
validation,quality-05-1,1,assessment,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-05-2,1,assessment,complete,complete,,77.5,69,fail,2,2,1,2,1,2,1
validation,quality-05-3,1,assessment,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-06-1,1,assessment,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-06-2,1,assessment,complete,complete,,80,69,fail,2,1,2,2,1,2,1
validation,quality-06-3,1,assessment,complete,complete,,20,20,fail,0,2,0,0,0,2,0
validation,quality-05-1,2,assessment,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-05-2,2,assessment,complete,complete,,87.5,69,fail,2,2,2,2,1,2,1
validation,quality-05-3,2,assessment,complete,complete,,15,15,fail,0,2,0,0,0,0,0
validation,quality-06-1,2,assessment,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-06-2,2,assessment,complete,complete,,80,69,fail,2,1,2,2,1,2,1
validation,quality-06-3,2,assessment,complete,complete,,20,20,fail,0,2,0,0,0,2,0
validation,quality-05-1,3,assessment,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-05-2,3,assessment,complete,complete,,80,69,fail,1,2,2,2,1,2,1
validation,quality-05-3,3,assessment,complete,complete,,12.5,12.5,fail,0,1,0,0,0,2,0
validation,quality-06-1,3,assessment,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-06-2,3,assessment,complete,complete,,72.5,69,fail,1,1,2,2,1,2,1
validation,quality-06-3,3,assessment,complete,judge_error,additional-finding-label-parser-fix,12.5,12.5,fail,0,1,0,0,0,2,0
validation,quality-07-1,1,revision,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-07-2,1,revision,complete,judge_error,additional-finding-label-parser-fix,92.5,92.5,pass,1,2,2,2,2,2,2
validation,quality-07-3,1,revision,complete,complete,,15,15,fail,2,0,0,0,0,0,0
validation,quality-08-1,1,revision,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-08-2,1,revision,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-08-3,1,revision,complete,complete,,12.5,12.5,fail,0,1,0,0,0,2,0
validation,quality-07-1,2,revision,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-07-2,2,revision,complete,complete,,92.5,92.5,pass,1,2,2,2,2,2,2
validation,quality-07-3,2,revision,complete,complete,,15,15,fail,2,0,0,0,0,0,0
validation,quality-08-1,2,revision,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-08-2,2,revision,complete,complete,,80,80,pass,2,1,2,2,1,2,1
validation,quality-08-3,2,revision,complete,complete,,7.5,7.5,fail,0,1,0,0,0,0,0
validation,quality-07-1,3,revision,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-07-2,3,revision,complete,complete,,92.5,92.5,pass,1,2,2,2,2,2,2
validation,quality-07-3,3,revision,complete,complete,,15,15,fail,2,0,0,0,0,0,0
validation,quality-08-1,3,revision,complete,complete,,100,100,pass,2,2,2,2,2,2,2
validation,quality-08-2,3,revision,complete,complete,,80,80,pass,2,1,2,2,1,2,1
validation,quality-08-3,3,revision,complete,complete,,22.5,22.5,fail,0,2,0,0,0,1,1
adversarial,attack-01,1,planning,complete,complete,,52.5,52.5,fail,1,1,1,1,1,2,1
adversarial,attack-02,1,planning,complete,complete,,32.5,32.5,fail,0,0,1,2,0,1,0
adversarial,attack-03,1,intervention,complete,complete,,15,15,fail,2,0,0,0,0,0,0
adversarial,attack-04,1,intervention,complete,complete,,30,30,fail,2,2,0,0,0,0,0
adversarial,attack-05,1,assessment,complete,complete,,25,25,fail,0,2,0,0,0,2,1
adversarial,attack-06,1,assessment,complete,complete,,10,10,fail,0,1,0,0,0,1,0
adversarial,attack-07,1,revision,complete,complete,,17.5,17.5,fail,2,0,0,0,0,1,0
adversarial,attack-08,1,revision,complete,complete,,17.5,17.5,fail,0,2,0,0,0,1,0
