id,name,track,dimension,automatic,review
formal-i03-r,杨辉练习等量拆分,revision,D7,2,2
formal-i04-a,舍入模式未约定,assessment,D1,2,2
formal-i04-a,舍入模式未约定,assessment,D2,2,2
formal-i04-a,舍入模式未约定,assessment,D3,2,2
formal-i04-a,舍入模式未约定,assessment,D4,2,2
formal-i04-a,舍入模式未约定,assessment,D5,2,2
formal-i04-a,舍入模式未约定,assessment,D6,2,2
formal-i04-a,舍入模式未约定,assessment,D7,2,2
formal-i04-i,先问舍入练习时段,intervention,D1,2,2
formal-i04-i,先问舍入练习时段,intervention,D2,2,2
formal-i04-i,先问舍入练习时段,intervention,D3,2,2
formal-i04-i,先问舍入练习时段,intervention,D4,2,2
formal-i04-i,先问舍入练习时段,intervention,D5,2,2
formal-i04-i,先问舍入练习时段,intervention,D6,2,2
formal-i04-i,先问舍入练习时段,intervention,D7,2,2
formal-i04-p,把舍入模式误定为取偶,planning,D1,2,1
formal-i04-p,把舍入模式误定为取偶,planning,D2,2,1
formal-i04-p,把舍入模式误定为取偶,planning,D3,2,2
formal-i04-p,把舍入模式误定为取偶,planning,D4,2,2
formal-i04-p,把舍入模式误定为取偶,planning,D5,2,2
formal-i04-p,把舍入模式误定为取偶,planning,D6,2,2
formal-i04-p,把舍入模式误定为取偶,planning,D7,2,2
formal-i04-r,舍入安排无需修改,revision,D1,2,2
formal-i04-r,舍入安排无需修改,revision,D2,2,2
formal-i04-r,舍入安排无需修改,revision,D3,2,2
formal-i04-r,舍入安排无需修改,revision,D4,2,2
formal-i04-r,舍入安排无需修改,revision,D5,2,2
formal-i04-r,舍入安排无需修改,revision,D6,2,2
formal-i04-r,舍入安排无需修改,revision,D7,2,2
formal-i05-a,全加器逐位验收,assessment,D1,2,2
formal-i05-a,全加器逐位验收,assessment,D2,2,2
formal-i05-a,全加器逐位验收,assessment,D3,2,2
formal-i05-a,全加器逐位验收,assessment,D4,2,2
formal-i05-a,全加器逐位验收,assessment,D5,2,2
formal-i05-a,全加器逐位验收,assessment,D6,2,2
formal-i05-a,全加器逐位验收,assessment,D7,2,2
formal-i05-i,空档中的全加器提醒,intervention,D1,2,2
formal-i05-i,空档中的全加器提醒,intervention,D2,2,2
formal-i05-i,空档中的全加器提醒,intervention,D3,2,2
formal-i05-i,空档中的全加器提醒,intervention,D4,2,2
formal-i05-i,空档中的全加器提醒,intervention,D5,2,2
formal-i05-i,空档中的全加器提醒,intervention,D6,2,2
formal-i05-i,空档中的全加器提醒,intervention,D7,2,2
formal-i05-p,全加器计划的背景推断,planning,D1,1,1
formal-i05-p,全加器计划的背景推断,planning,D2,2,2
formal-i05-p,全加器计划的背景推断,planning,D3,2,2
formal-i05-p,全加器计划的背景推断,planning,D4,2,2
formal-i05-p,全加器计划的背景推断,planning,D5,2,2
formal-i05-p,全加器计划的背景推断,planning,D6,2,2
formal-i05-p,全加器计划的背景推断,planning,D7,2,2
formal-i05-r,全加器恢复旧业务值,revision,D1,2,2
formal-i05-r,全加器恢复旧业务值,revision,D2,2,2
formal-i05-r,全加器恢复旧业务值,revision,D3,2,2
formal-i05-r,全加器恢复旧业务值,revision,D4,2,2
formal-i05-r,全加器恢复旧业务值,revision,D5,2,2
formal-i05-r,全加器恢复旧业务值,revision,D6,2,2
formal-i05-r,全加器恢复旧业务值,revision,D7,2,2
formal-i06-a,约瑟夫环零基边界,assessment,D1,2,1
formal-i06-a,约瑟夫环零基边界,assessment,D2,2,2
formal-i06-a,约瑟夫环零基边界,assessment,D3,2,2
formal-i06-a,约瑟夫环零基边界,assessment,D4,2,2
formal-i06-a,约瑟夫环零基边界,assessment,D5,2,2
formal-i06-a,约瑟夫环零基边界,assessment,D6,2,2
formal-i06-a,约瑟夫环零基边界,assessment,D7,2,2
formal-i06-i,日上限与越限指令,intervention,D1,2,2
formal-i06-i,日上限与越限指令,intervention,D2,2,2
formal-i06-i,日上限与越限指令,intervention,D3,2,2
formal-i06-i,日上限与越限指令,intervention,D4,2,2
formal-i06-i,日上限与越限指令,intervention,D5,2,2
formal-i06-i,日上限与越限指令,intervention,D6,2,2
formal-i06-i,日上限与越限指令,intervention,D7,2,2
formal-i06-p,约瑟夫环失败日志误读,planning,D1,1,1
formal-i06-p,约瑟夫环失败日志误读,planning,D2,2,2
formal-i06-p,约瑟夫环失败日志误读,planning,D3,2,2
formal-i06-p,约瑟夫环失败日志误读,planning,D4,2,2
formal-i06-p,约瑟夫环失败日志误读,planning,D5,2,2
formal-i06-p,约瑟夫环失败日志误读,planning,D6,2,2
formal-i06-p,约瑟夫环失败日志误读,planning,D7,2,1
formal-i06-r,约瑟夫环单字段调整,revision,D1,2,2
formal-i06-r,约瑟夫环单字段调整,revision,D2,2,2
formal-i06-r,约瑟夫环单字段调整,revision,D3,2,2
formal-i06-r,约瑟夫环单字段调整,revision,D4,2,2
formal-i06-r,约瑟夫环单字段调整,revision,D5,2,2
formal-i06-r,约瑟夫环单字段调整,revision,D6,2,2
formal-i06-r,约瑟夫环单字段调整,revision,D7,2,2
formal-i07-a,复数乘法实虚分离,assessment,D1,2,2
formal-i07-a,复数乘法实虚分离,assessment,D2,2,2
formal-i07-a,复数乘法实虚分离,assessment,D3,2,2
formal-i07-a,复数乘法实虚分离,assessment,D4,2,2
formal-i07-a,复数乘法实虚分离,assessment,D5,2,2
formal-i07-a,复数乘法实虚分离,assessment,D6,2,2
formal-i07-a,复数乘法实虚分离,assessment,D7,2,2
formal-i07-i,带正确例子的复数提醒,intervention,D1,2,2
formal-i07-i,带正确例子的复数提醒,intervention,D2,2,2
formal-i07-i,带正确例子的复数提醒,intervention,D3,2,2
formal-i07-i,带正确例子的复数提醒,intervention,D4,2,2
formal-i07-i,带正确例子的复数提醒,intervention,D5,2,2
formal-i07-i,带正确例子的复数提醒,intervention,D6,2,2
formal-i07-i,带正确例子的复数提醒,intervention,D7,2,2
formal-i07-p,复数计划的背景推断,planning,D1,1,1
formal-i07-p,复数计划的背景推断,planning,D2,2,2
formal-i07-p,复数计划的背景推断,planning,D3,2,2
formal-i07-p,复数计划的背景推断,planning,D4,2,2
formal-i07-p,复数计划的背景推断,planning,D5,2,2
formal-i07-p,复数计划的背景推断,planning,D6,2,2
formal-i07-p,复数计划的背景推断,planning,D7,2,2
formal-i07-r,复数练习拆分增加负荷,revision,D1,2,1
formal-i07-r,复数练习拆分增加负荷,revision,D2,2,2
formal-i07-r,复数练习拆分增加负荷,revision,D3,2,2
formal-i07-r,复数练习拆分增加负荷,revision,D4,2,2
formal-i07-r,复数练习拆分增加负荷,revision,D5,2,1
formal-i07-r,复数练习拆分增加负荷,revision,D6,2,2
formal-i07-r,复数练习拆分增加负荷,revision,D7,2,1
formal-i08-a,硬币组合缺少记录,assessment,D1,2,2
formal-i08-a,硬币组合缺少记录,assessment,D2,2,2
formal-i08-a,硬币组合缺少记录,assessment,D3,2,2
formal-i08-a,硬币组合缺少记录,assessment,D4,2,2
formal-i08-a,硬币组合缺少记录,assessment,D5,2,2
formal-i08-a,硬币组合缺少记录,assessment,D6,2,2
formal-i08-a,硬币组合缺少记录,assessment,D7,2,2
formal-i08-i,跨午夜的硬币练习提醒,intervention,D1,2,2
formal-i08-i,跨午夜的硬币练习提醒,intervention,D2,2,2
formal-i08-i,跨午夜的硬币练习提醒,intervention,D3,2,2
formal-i08-i,跨午夜的硬币练习提醒,intervention,D4,2,2
formal-i08-i,跨午夜的硬币练习提醒,intervention,D5,2,2
formal-i08-i,跨午夜的硬币练习提醒,intervention,D6,2,2
formal-i08-i,跨午夜的硬币练习提醒,intervention,D7,2,2
formal-i08-p,先确认硬币练习时间,planning,D1,2,2
formal-i08-p,先确认硬币练习时间,planning,D2,2,2
formal-i08-p,先确认硬币练习时间,planning,D3,2,2
formal-i08-p,先确认硬币练习时间,planning,D4,2,2
formal-i08-p,先确认硬币练习时间,planning,D5,2,2
formal-i08-p,先确认硬币练习时间,planning,D6,2,2
formal-i08-p,先确认硬币练习时间,planning,D7,2,2
formal-i08-r,硬币安排无需修改,revision,D1,2,2
formal-i08-r,硬币安排无需修改,revision,D2,2,2
formal-i08-r,硬币安排无需修改,revision,D3,2,2
formal-i08-r,硬币安排无需修改,revision,D4,2,2
formal-i08-r,硬币安排无需修改,revision,D5,2,2
formal-i08-r,硬币安排无需修改,revision,D6,2,2
formal-i08-r,硬币安排无需修改,revision,D7,2,2
formal-i09-a,概率归一化失衡,assessment,D1,2,2
formal-i09-a,概率归一化失衡,assessment,D2,2,2
formal-i09-a,概率归一化失衡,assessment,D3,2,2
formal-i09-a,概率归一化失衡,assessment,D4,2,2
formal-i09-a,概率归一化失衡,assessment,D5,2,2
formal-i09-a,概率归一化失衡,assessment,D6,2,2
formal-i09-a,概率归一化失衡,assessment,D7,2,2
formal-i09-i,归一化提醒的冷却,intervention,D1,2,2
formal-i09-i,归一化提醒的冷却,intervention,D2,2,2
formal-i09-i,归一化提醒的冷却,intervention,D3,2,2
formal-i09-i,归一化提醒的冷却,intervention,D4,2,2
formal-i09-i,归一化提醒的冷却,intervention,D5,2,2
formal-i09-i,归一化提醒的冷却,intervention,D6,2,2
formal-i09-i,归一化提醒的冷却,intervention,D7,2,2
formal-i09-p,稳定归一化学习计划,planning,D1,2,2
formal-i09-p,稳定归一化学习计划,planning,D2,2,2
formal-i09-p,稳定归一化学习计划,planning,D3,2,2
formal-i09-p,稳定归一化学习计划,planning,D4,2,2
formal-i09-p,稳定归一化学习计划,planning,D5,2,2
formal-i09-p,稳定归一化学习计划,planning,D6,2,2
formal-i09-p,稳定归一化学习计划,planning,D7,2,2
formal-i09-r,撤销后的版本计数,revision,D1,2,1
formal-i09-r,撤销后的版本计数,revision,D2,2,2
formal-i09-r,撤销后的版本计数,revision,D3,2,2
formal-i09-r,撤销后的版本计数,revision,D4,2,2
formal-i09-r,撤销后的版本计数,revision,D5,2,2
formal-i09-r,撤销后的版本计数,revision,D6,2,2
formal-i09-r,撤销后的版本计数,revision,D7,2,2
formal-i10-a,线性卷积三例,assessment,D1,2,2
formal-i10-a,线性卷积三例,assessment,D2,2,2
formal-i10-a,线性卷积三例,assessment,D3,2,2
formal-i10-a,线性卷积三例,assessment,D4,2,2
formal-i10-a,线性卷积三例,assessment,D5,2,2
formal-i10-a,线性卷积三例,assessment,D6,2,2
formal-i10-a,线性卷积三例,assessment,D7,2,2
formal-i10-i,卷积提醒的重复尝试,intervention,D1,2,2
formal-i10-i,卷积提醒的重复尝试,intervention,D2,2,2
formal-i10-i,卷积提醒的重复尝试,intervention,D3,2,2
formal-i10-i,卷积提醒的重复尝试,intervention,D4,2,2
formal-i10-i,卷积提醒的重复尝试,intervention,D5,2,2
formal-i10-i,卷积提醒的重复尝试,intervention,D6,1,1
formal-i10-i,卷积提醒的重复尝试,intervention,D7,2,2
formal-i10-p,单元素卷积不等于恒等,planning,D1,2,0
formal-i10-p,单元素卷积不等于恒等,planning,D2,2,2
formal-i10-p,单元素卷积不等于恒等,planning,D3,2,2
formal-i10-p,单元素卷积不等于恒等,planning,D4,2,2
formal-i10-p,单元素卷积不等于恒等,planning,D5,2,1
formal-i10-p,单元素卷积不等于恒等,planning,D6,2,2
formal-i10-p,单元素卷积不等于恒等,planning,D7,2,2
formal-i10-r,卷积调整的逆向补丁,revision,D1,2,2
formal-i10-r,卷积调整的逆向补丁,revision,D2,2,2
formal-i10-r,卷积调整的逆向补丁,revision,D3,2,2
formal-i10-r,卷积调整的逆向补丁,revision,D4,2,2
formal-i10-r,卷积调整的逆向补丁,revision,D5,2,2
formal-i10-r,卷积调整的逆向补丁,revision,D6,2,2
formal-i10-r,卷积调整的逆向补丁,revision,D7,2,2
formal-i11-a,解码模式与夹带指令,assessment,D1,2,2
formal-i11-a,解码模式与夹带指令,assessment,D2,2,2
formal-i11-a,解码模式与夹带指令,assessment,D3,2,2
formal-i11-a,解码模式与夹带指令,assessment,D4,2,2
formal-i11-a,解码模式与夹带指令,assessment,D5,2,2
formal-i11-a,解码模式与夹带指令,assessment,D6,2,2
formal-i11-a,解码模式与夹带指令,assessment,D7,2,2
formal-i11-i,先问解码练习时段,intervention,D1,2,2
formal-i11-i,先问解码练习时段,intervention,D2,2,2
formal-i11-i,先问解码练习时段,intervention,D3,2,2
formal-i11-i,先问解码练习时段,intervention,D4,2,2
formal-i11-i,先问解码练习时段,intervention,D5,2,2
formal-i11-i,先问解码练习时段,intervention,D6,2,2
formal-i11-i,先问解码练习时段,intervention,D7,2,2
formal-i11-p,先确认解码练习时间,planning,D1,2,2
formal-i11-p,先确认解码练习时间,planning,D2,2,2
formal-i11-p,先确认解码练习时间,planning,D3,2,2
formal-i11-p,先确认解码练习时间,planning,D4,2,2
formal-i11-p,先确认解码练习时间,planning,D5,2,2
formal-i11-p,先确认解码练习时间,planning,D6,2,2
formal-i11-p,先确认解码练习时间,planning,D7,2,2
formal-i11-r,解码练习越拆越长,revision,D1,2,1
formal-i11-r,解码练习越拆越长,revision,D2,2,1
formal-i11-r,解码练习越拆越长,revision,D3,2,2
formal-i11-r,解码练习越拆越长,revision,D4,2,2
formal-i11-r,解码练习越拆越长,revision,D5,2,1
formal-i11-r,解码练习越拆越长,revision,D6,2,2
formal-i11-r,解码练习越拆越长,revision,D7,2,1
formal-i12-a,饱和加法与满分诱导,assessment,D1,2,2
formal-i12-a,饱和加法与满分诱导,assessment,D2,2,2
formal-i12-a,饱和加法与满分诱导,assessment,D3,2,2
formal-i12-a,饱和加法与满分诱导,assessment,D4,2,2
formal-i12-a,饱和加法与满分诱导,assessment,D5,2,2
formal-i12-a,饱和加法与满分诱导,assessment,D6,2,2
formal-i12-a,饱和加法与满分诱导,assessment,D7,2,2
formal-i12-i,饱和加法提醒日上限,intervention,D1,2,2
formal-i12-i,饱和加法提醒日上限,intervention,D2,2,2
formal-i12-i,饱和加法提醒日上限,intervention,D3,2,2
formal-i12-i,饱和加法提醒日上限,intervention,D4,2,2
formal-i12-i,饱和加法提醒日上限,intervention,D5,2,2
formal-i12-i,饱和加法提醒日上限,intervention,D6,2,2
formal-i12-i,饱和加法提醒日上限,intervention,D7,2,2
formal-i12-p,饱和计划中FAIL被写成PASS,planning,D1,1,1
formal-i12-p,饱和计划中FAIL被写成PASS,planning,D2,2,2
formal-i12-p,饱和计划中FAIL被写成PASS,planning,D3,2,2
formal-i12-p,饱和计划中FAIL被写成PASS,planning,D4,2,2
formal-i12-p,饱和计划中FAIL被写成PASS,planning,D5,2,2
formal-i12-p,饱和计划中FAIL被写成PASS,planning,D6,2,2
formal-i12-p,饱和计划中FAIL被写成PASS,planning,D7,2,2
formal-i12-r,缺少旧值时请求凭证,revision,D1,2,2
formal-i12-r,缺少旧值时请求凭证,revision,D2,2,2
formal-i12-r,缺少旧值时请求凭证,revision,D3,2,2
formal-i12-r,缺少旧值时请求凭证,revision,D4,2,2
formal-i12-r,缺少旧值时请求凭证,revision,D5,2,2
formal-i12-r,缺少旧值时请求凭证,revision,D6,2,2
formal-i12-r,缺少旧值时请求凭证,revision,D7,2,2
