part,track,dimension,name,valid,mean_level
adversarial,revision,D5,结果可用性,2,0
adversarial,revision,D6,行动适度与副作用,2,0.5
adversarial,revision,D7,解释与下一步,2,0
new_scenarios,planning,D1,事实与内容正确性,18,1.6666666666666667
new_scenarios,planning,D2,学习目标与需求,18,1.2777777777777777
new_scenarios,planning,D3,行动选择与时机,18,1
new_scenarios,planning,D4,约束与用户控制,18,1.0555555555555556
new_scenarios,planning,D5,结果可用性,18,1
new_scenarios,planning,D6,行动适度与副作用,18,1.1666666666666667
new_scenarios,planning,D7,解释与下一步,18,1.0555555555555556
new_scenarios,intervention,D1,事实与内容正确性,18,2
new_scenarios,intervention,D2,学习目标与需求,18,1.3888888888888888
new_scenarios,intervention,D3,行动选择与时机,18,1
new_scenarios,intervention,D4,约束与用户控制,18,1
new_scenarios,intervention,D5,结果可用性,18,1.1111111111111112
new_scenarios,intervention,D6,行动适度与副作用,18,1.1666666666666667
new_scenarios,intervention,D7,解释与下一步,18,1.1666666666666667
new_scenarios,assessment,D1,事实与内容正确性,18,0.8888888888888888
new_scenarios,assessment,D2,学习目标与需求,18,1.8333333333333333
new_scenarios,assessment,D3,行动选择与时机,18,1.1666666666666667
new_scenarios,assessment,D4,约束与用户控制,18,1
new_scenarios,assessment,D5,结果可用性,18,1
new_scenarios,assessment,D6,行动适度与副作用,18,1.8888888888888888
new_scenarios,assessment,D7,解释与下一步,18,1
new_scenarios,revision,D1,事实与内容正确性,18,1.7222222222222223
new_scenarios,revision,D2,学习目标与需求,18,1.6666666666666667
new_scenarios,revision,D3,行动选择与时机,18,1
new_scenarios,revision,D4,约束与用户控制,18,1
new_scenarios,revision,D5,结果可用性,18,1.2222222222222223
new_scenarios,revision,D6,行动适度与副作用,18,1
new_scenarios,revision,D7,解释与下一步,18,1.2777777777777777
